posterId,title,description,somCoordinate,representationsCoordinate,clusterId
po000073,北海道立近代美術館,常設展示、北海道の美術・日本近代の美術・海外の美術、パスキンの絵画・版画・ガラス工芸、北海道立近代美術館、HokkaidoMuseumofModernArt、開館時間、午前10時～午後5時（入館は午後4時30分まで）、休館日、月曜日・国民の祝日（ただし5/5・9/23・11/3は臨時開館いたします）、年末年始（12月28日⇒1月4日）、観覧料（常設展）、一般150円（120円）・高・大生120円（80円）・小・中生80円（50円）、（）内は10名以上の団体料金、※教員に引率された小・中学校・特殊学校生徒とその引率者、身体障害者、65歳以上の方、生活保護を受けている方は無料となります。54年度の特別展、救世熱海美術館名品展ー4月1日～4月22日、19世紀オランダ絵画展ー5月20日～6月10日、フランス美術・栄光300年展ー6月23日～7月29日、ガラスの美ーアール・デコー6月23日～8月26日、木田金次郎ー8月30日～9月23日、第11回東京国際版画ビエンナーレ展ー10月6日～10月28日、蠣崎波響展ー11月3日～12月23日、子どもと親の美術館’80ー1月5日～2月10日、第3回北海道現代美術展ー1月19日～2月10日、昭和54年度現代美術選抜展ー2月17日～3月2日、※都合により会期が変更される場合もあります、教育普及活動、作品解説（日曜日・2時）、展示室講話（土曜日・2時）、質問コーナー（水・土・日、1時～3時）、その他、講演会、映画会、美術講座、技法講座など〈詳細は近代美術館にお問い合わせください〉、札幌市中央区北1条西17丁目、TEL（011)644-6881、Nishi-17Kita-1、Chuo-ku、SAPPORO、交通案内、地下鉄（東西線）西18丁目下車徒歩5分、国鉄バス・中央バス西17丁目下車徒歩1分、北海道立近代美術館の地図付き,339,,126.0
po000074,北海道立三岸好太郎美術館,北海道立三岸好太郎美術館、THEMIGISHIKOTAROMUSEUMOFARTHOKKAIDO、昭和54年度のテーマ展示、三岸好太郎の詩と絵画展、4月18日（水）～7月22日（日）、三岸好太郎・画壇へデビューのころ、10月24日（水）～12月26日（水）、通年開館、月曜日・祝日・年末年始休館、入館無料、午前10時～午後5時、札幌市中央区北1条西5丁目、TEL011-221-0811,1030,,126.0
po000075,ARTDEKOガラスの美,モダンな装い/アール・デコ、ARTDEKOガラスの美、6月23日（土）ー8月26日（日）、AM.10:00～PM.5:00(月曜日休館）、北海道立近代美術館、常設展示室、2階、札幌市中央区北1条西17丁目、TEL644-6881、観覧料、常設展観覧料で観覧できます、一般150円（120円）、大高生120円（80円）、小中生100円（50円）、（）内は10名以上の団体割引料金、アージー・ルッソー、獅子文花器、高さ22.5㎝、撮影、岡本和行,951,,30.0
po000076,フランス美術《栄光の300年》,（開館2周年記念）フランス美術《栄光の300年》、BEAUX-ARTSDEPARIS、パリからの贈りもの、主催、北海道立近代美術館・パリ市・札幌テレビ放送・日本テレビ放送網、後援、外務省・文化庁・フランス大使館・読売新聞社、会期（1979)6月23日（土）ー7月29日（日）、月曜日休館・午前10時～午後5時（ただし入館は午後4時30分まで）、北海道立近代美術館、札幌市中央区北1条西17丁目、TEL(011)644-6881、観覧料、一般600円（500円）、高・大生400円（300円）、小・中学生300円（200円）、（）内は前売および団体料金、アメデオ・モディリアーニ（肩を持つ女）1919年の絵の写真付き,2020,,125.0
po000077,札幌オリンピックを成功させよう,札幌オリンピックを成功させよう、会期・昭和47年2月3日～2月13日、真駒内スピード・スケート競技場（開会式場）・真駒内屋内スケート競技場（閉会式場）の絵付き、会場説明①恵庭岳滑降競技場②真駒内バイアスロン競技場③真駒内距離競技場④オリンピック村⑤真駒内スピード・スケート競技場⑥真駒内屋内スケート競技場⑦月寒屋内スケート競技場⑧藤野リュージュ競技場⑨宮の森70メートルジャンプ競技場⑩大倉山90メートルジャンプ競技場⑪手稲山回転競技場⑫手稲山大回転競技場（女子）⑬手稲山ボブスレー競技場⑭手稲山大回転競技場（男子）⑮手稲山リュージュ競技場⑯美香保屋内スケート競技場、北海道、印刷、須田製版,1280,,159.0
po000078,第9回国民体育大会,第9回国民体育大会、夏季、7月23日～27日ヨット、24日～28日山岳、秋季、8月22日～26日、主催、日本体育協会・文部省、後援、北海道・札幌市・小樽市・岩見沢市・函館市・旭川市・美唄市・苫小牧市、第9回国民体育大会北海道協賛会、フルヤのミルクキャラメル,1438,,159.0
po000082,開港103年記念　函館港まつり,開港103年記念、函館港まつり、1961年7月1日/5日、函館市、函館港まつり協賛会、青函船舶鉄道管理局、サインあり、行事日程表の紙付き,1875,,131.0
po000083,開港九十年港まつり記念　昭和23年度函館観光写真コンクール,TOURISTPHOTOCONTEST、特選、1名（3000円）・副賞（函館市長賞）、入選、2名（各2000円）・副賞（北海道新聞社賞）、佳作、10名（各500円）・副賞（函館新聞社賞）、規定、未発表のものに限る、四つ切（主題・データー・住所氏名を明記）、応募枚数制限なし（密着印画添付）、送り先、函館市役所、商工課、開港九十年港まつり記念、昭和23年度函館観光写真コンクール、締切10月30日、発表11月10日、主催、函館市役所、後援、北海道新聞社・函館新聞社・交通公社函館事務所・函館管理部,687,,129.0
po000084,開港105年記念　’63はこだて港まつり,‘63はこだて港まつり、開港105年記念、7月1日→7日、共催、函館市・函館港まつり協賛会・青函船舶鉄道管理局、函館・第一印刷印行、サインあり、行事日程の紙付き,844,99.0,129.0
po000085,開港九十年記念　函館港まつり,函館港まつり、七月一日から五日まで、開港九十年記念、式典一日午前十時市役所前、素晴らしい数々の催物、港まつり協賛、記念品付花かざり壱箇十箇、市長贈呈記念品・男子背広三ッ揃二著・婦人洋服二著・ミシン二台・自転車二台・簞笥二掉、男子学童服二著・女子学童服二著・吉田初三郎画伯筆観光繪はがき六千組・其他記念品多数、函館市、行事日程付き,841,,131.0
po000086,たくぎんの1969年カレンダー,1969年のカレンダー付き、サロベツ原野と利尻岳の絵、画・中村善策のサインあり、印刷、大日本印刷株式会社、昭和45年1月17日受付印あり,1575,,179.0
po000087,水道の普及と料金　,水道と普及と料金、「清浄して豊富、低廉な水の供給」ーこれが水道事業の目的です。この水道は全国的に建設・拡張が行われた結果、総人口に対し79％まで普及し欧米先進諸国のレベルにもう一歩です。しかし、水道の需要はふえるばかりで水源の開発、公共用水域の水質汚濁、苦しい水道財政水道の広域代などの諸問題をかかえているのが現状です、都道府県別水道普及率の順位（45年3月現在）・世界各国の水道普及率・普及率の低い村と町・高くなる水道のコスト・主要都市の水道料金のグラフ付き、水道事業経営の仕組みの写真付き、共同編集、厚生省水道課・日本水道協会・全国簡易水道協議会・日本水道新聞社、昭和46年5月26日受付印、,909,,190.0
po000089,第9回　国体ラグビー,第9回国体ラグビー、8月22・24・26日札幌市、主催・日本体育協会・文部省、後援・北海道・札幌市、札幌田上印刷印行、投資信託は山一證券、札幌市南1西4・小樽市大国屋内、サインあり,375,,159.0
po000090,スキーと冬山の写真展,冬こそ大気の中へ、スキーと冬山の写真展、会場・銀座、伊東屋七階、会期・12月20日より26日迄、スキー相談所開設、講師・千家哲麿氏・中村貞治氏・伊東虎夫氏・阿部一美氏・茂木愼雄氏、会期中毎日、午后三時ヨリ七時迄、主催、東京鉄道局・日本旅行協会・山と渓谷社、,1281,,112.0
po000091,第9回　国体卓球,第9回、国体卓球、旭川市8月22日⇒26日、主催⇒日本体育協会・文部省、後援⇒北海道・旭川市、札幌田上印刷印行、サインあり、投資信託は山一證券、札幌市南1西4・小樽市大国屋内,372,,159.0
po000092,1952ヘルシンキオリンピックへ選手を送りましょう,1952ヘルシンキオリンピックへ選手を送りましょう、財団法人、日本体育協会、オリンピック後援会、森永ミルクキャラメル、山口鉄道印刷紙工納,397,,159.0
po000093,第11回札幌オリンピック冬季大会会場予定図,第11回札幌オリンピック冬季大会会場予定図、会期、昭和47年2月、北海道、印刷株式会社須田製版、,1497,,159.0
po000094,国体宝くじ,国体宝くじ、抽せん日→7月11日、1等50万円、2等30万円、1等残念賞5万円、2等残念賞3万円、3等10万円、4等5万円、5等1万円、1マイ30円、北海道受託北海道拓殖銀行、札幌山藤印刷株式会社、サインあり,452,,159.0
po000095,暮らしの中に光を…貯蓄,暮らしの中に光を…貯蓄、貯蓄増強中央委員会、後援/大蔵省・日本銀行、協賛/都道府県,1763,,192.0
po000096,XI　OlympicWinterGames,XI、OlympicWinterGames、FEBRUARY3-13、1972、THEORGANIZINGCOMMITTEEFORTHExithOLYMPICWINTERGAMES、SAPPORO1972、Designedby:YusakuKamekura、Photoby:KiyoshiFujikawa、Printedby:ToppanPrintingCo.、Ltd.、Japan、昭和46年8月12日受付印,1568,,101.0
po000097,第26回学生広告論文電通賞募集,第26回学生広告論文電通賞募集、第1部、大学生個人（大学院学生を除く）「住民意識の台頭と広告の役割」、第2部、大学生グループ5名～20名（大学院学生を除く）「自由課題」ただしマーケティングと広告に関する研究、文部大臣賞、賞状および記念副賞を各部の1位に贈る、電通賞・1部＝1位から3位まで賞状・副賞・奨学金20万円15万円、10万円、佳作（若干）＝賞状・奨学金各5万円・2部＝1位から3位まで賞状・副賞・研究費30万円、20万円、10万円、佳作（若干）＝賞状・研究費各5万円、締切＝昭和49年1月25日（必着）・発表＝昭和49年3月上旬、贈賞式＝昭和49年3月下旬、送り先＝〒104東京都中央区築地1-11、株式会社電通、総務局、学生広告論文電通賞係、電話、東京（544）5131、詳しくは募集要綱をご覧ください、主催、株式会社電通、後援、文部省,376,,178.0
po000098,第26回学生広告論文電通賞募集,第26回学生広告論文電通賞募集、第3部、高校生個人「新しい時代に対応する広告」、第4部、高校生グループ（5名～20名）「生活設計における広告の役割」、文部大臣賞、賞状および記念副賞を各部の1位に贈る、電通賞・3部＝1位から3位まで賞状・副賞・奨学金10万円、7万円、5万円、佳作（若干）＝賞状・奨学金各3万円・4部＝1位から3位まで賞状・賞牌・副賞・奨学金30万円、20万円、10万円、佳作（若干）＝賞状・副賞・奨学金各5万円、締切＝昭和49年1月25日（必着）、発表＝昭和49年3月上旬、贈賞式＝昭和49年3月下旬、送り先＝〒104東京都中央区築地1-11、株式会社電通、総務局、学生広告論文電通賞係、電話、東京（544）5131、詳しくは募集要綱をご覧ください、主催、株式会社電通、後援、文部省、昭和48年7月5日受付印,425,,178.0
po000099,第17回函館山市民ハイキング大会,第17回函館山市民ハイキング大会、第10回体力つくりあるけあるけ大会、10月10日（体育の日）、雨天の際は次の日曜日（11日）、登山受付9時⇒11時30分、受付場所、旧山道分岐点、登山者には抽せんにより記念品を差し上げます。10才以上の方には記念品と記念撮影をして差し上げます。主催、函館市教育委員会、昭和45年10月6日受付印、,607,72.0,160.0
po000101,ハイカラ絵日記,ハイカラ絵日記、OUTDOOR・MUSEUM、北海道開拓の村、財団法人、北海道開拓の村、〒004札幌市厚別区厚別町小野幌50-1、PHONE・FAX:011-898-2692～4,96,,180.0
po000102,港まつり,港まつり、自七月一日、至七月七日、函館市、はんこあり,393,,129.0
po000103,開港98年　はこだて港まつり,開港98年はこだて港まつり、19567月1日→5日、函館市・函館港まつり協賛会・函館商工会議所・青函船舶鉄道管理局、第一印刷印行、サインあり、函館港まつり行事表付き,766,,129.0
po000104,開港106年　はこだて港まつり,開港106年はこだて港まつり、7月1日/5日、共催・函館市・函館港まつり協賛会・青函船舶鉄道管理局、サインあり、函館港まつり行事予定表付き,702,,129.0
po000105,港まつり福引大売出し,港まつり福引大売出し、6月28日→7月6日、100円お買上毎に福引券1枚進呈、賞品、1等50000円1本、副賞、トーア毛糸（1ポンド）1本、トーア賞、トーア毛糸（半ポンド）10本、2等、1000円6本、3等、500円9本、4等、国産キャラメル15000本、5等、空ぐじ15枚でニュー東宝招待券引換、主催、函館市・函館商工会議所、ハコー印刷会社印行、サインあり,689,,184.0
po000106,謹告,謹告、当店舗は来る12日(日)を以って閉店致す事になりました。長い間のご愛顧誠にありがとうございました。尚、五稜郭新店舗は10月21日(火)に開店致しますのでご期待下さいませ。昭和44年10月13日受付印,1537,174.0,176.0
po000107,港まつり,港まつり、FESTIVALINHAKODATEPORT、JULY1～51948、函館市、サインあり,1415,,129.0
po000108,港まつり,港まつり、昭和二十三年七月一日→五日、開港、嘉永六年（西歴一八五三年）アメリカ提督ペリーを我国に送りて開港通商を求む。幕府相議して翌年ペリー再び神奈川に来航せし時、和親条約を結び下田と函館の二港を開港する事となれり。函館市、サインあり,1797,,129.0
po000109,開港97年はこだて港まつり,開港97年はこだて港まつり、7月1日→5日、主催、函館市・函館港祭協賛会・函館商工会議所・青函鉄道管理局、函館・辻印刷所印行、サインあり,1760,,129.0
po000110,開港九十四周年・北洋漁業再開記念　港まつり,開港九十四周年・北洋漁業再開記念港まつり、7月1日～6日、主催、函館市・函館港まつり協賛会、広告税、昭和27年6月19日印,1002,,129.0
po000111,松竹大歌舞伎特別公演,松竹大歌舞伎特別公演、板東三津五郎、市村竹之丞、大谷友右衛門、沢村由次郎、板東慶三、沢村田之助、中村雀右衛門、義経千本桜、川連法眼館一幕、お目見得、口上、岡本綺堂作、修禅寺物語三場、新歌舞伎十八番の内、鏡獅子長唄囃子連中、7月2日、昼12寺半・夜5寺半、開演、観劇料（指定席）、特別席2000円、一等席1500円、二等A席1000円、二等B席800円、二等C席500円、前売所、北海道新聞函館支社、支局及び函館市内プレーガイド、お問い合せ、北海道新聞函館支社事業部、TEL23-2111、会場、函館市民会館、主催、函館市文化団体協議会・函館市民劇場運営委員会・函館市教育委員会・北海道新聞社、昭和45年4月23日受付印,472,,170.0
po000113,ペリー来航100年記念　港まつり,ペリー来航100年記念港まつり、7月8日→14日、函館市・函館商工会議所・青函鉄道管理局、函館・辻印刷所印行、サインあり,691,,131.0
po000114,開港九十五周年　港まつり,開港九十五周年港まつり、7月1日→5日、明年開催、北洋漁業再開記念、大博覧会29年7～8月、函館市・国有鉄道（青函）、函館・ハコー印刷印行、サインあり、開港95周年記念函館港まつり行事表付き,1003,,129.0
po000115,開港107年記念はこだて港まつり,開港107年記念はこだて港まつり、7月1日→5日、主催、函館市・函館港まつり協賛会、函館・第一印刷印行、サインあり,859,78.0,129.0
po000116,中村善策展,,225,,22.0
po000117,優良児童図書展示会,,236,,152.0
po000118,市民のための大学開放講座,市民のための大学開放講座、文部省委嘱、講座名、古典と人生、講座内容、歴史と人生、北海道教育大学教授、小栗了之、老荘の真実相、助教授、加賀栄治、言葉の教育と古典、助教授、山岸悦郎、チョーサー・シェイクスピアの系譜、助教授、小名提郎、万葉の幻想、助教授、鎌田広夫、言語学の古典、助教授、田村光規、古典の言葉、講師、葛西清蔵、漱石と鴎外、助教授、安東璋二、内村鑑三と現代、助教授、秦慎二、古典と人間教育、教授、舟越芳男、期間、八月一日（土）から八月三十日（日）まで毎週土・日曜日、午後六時から一講座三時間、受講人数、約五〇名（男・女資格は問いません）、受講料、七五〇円、会場、北海道教育大学函館分校、申込先、函館市八幡町一番二号北海道教育大学函館分校教務係（電話五二-一一二一）、共催、北海道教育大学函館分校・北海道教育庁渡島教育局・函館市教育委員会、昭和45年7月12日,728,,161.0
